subj	block	trial	task_cue	task	choice_resp	choiceRT	choice_acc	topnum	topsize	botnum	botsize	cong	task_resp	taskRT	task_acc	RSI	CSI	altRep	E1
128	1	60	P	P	f	552.19	1	4	56	9	24	i	j	1019.74	1	1000	1000	1	0
128	1	61	P	P	f	402.11	1	7	56	2	24	c	j	869.39	1	1000	100	0	0
128	1	62	P	P	f	717.79	1	4	24	7	56	c	n	1737.27	1	100	100	0	0
128	1	63	N	N	f	418.05	0	8	24	2	56	i	j	4790.44	1	100	1000	1	0
128	1	64	N	N	d	818.59	0	7	24	4	56	i	j	2371.27	1	1000	100	0	0
128	1	65	N	N	d	752.0	0	8	24	2	56	i	j	1303.14	1	1000	1000	0	0
128	2	1	P	P	f	1420.04	1	3	56	7	24	i	j	2938.32	1	100	100	-1	0
128	2	2	P	P	f	668.69	1	7	24	4	56	i	n	2554.63	1	1000	1000	0	0
128	2	3	P	P	f	402.47	1	2	56	7	24	i	j	1436.89	1	1000	1000	0	0
128	2	4	P	P	f	552.27	1	3	24	7	56	c	n	1319.88	1	1000	1000	0	0
128	2	5	N	N	f	869.38	0	7	56	2	24	c	j	2571.11	1	100	1000	1	0
128	2	6	P	P	f	685.81	1	4	24	8	56	c	n	1102.83	1	1000	1000	1	0
128	2	7	P	P	f	735.65	1	2	56	7	24	i	j	1403.3	1	100	1000	0	0
128	2	8	P	P	f	652.83	1	9	24	4	56	i	n	1970.34	1	1000	100	0	0
128	2	9	N	N	d	1153.15	0	2	24	8	56	c	n	1553.57	1	100	100	1	0
128	2	10	P	P	f	768.78	1	3	56	9	24	i	j	1486.33	1	100	1000	1	0
128	2	11	N	N	d	969.02	0	2	56	8	24	i	n	1002.19	1	100	1000	1	0
128	2	12	N	N	d	752.25	0	3	56	9	24	i	n	1836.98	1	1000	100	0	0
128	2	13	N	N	d	835.47	0	4	56	7	24	i	n	1402.83	1	100	100	0	0
128	2	14	N	N	d	685.7	0	9	24	3	56	i	j	1820.51	1	1000	100	0	0
128	2	15	P	P	f	852.62	1	9	24	4	56	i	n	1253.25	1	100	1000	1	0
128	2	16	N	N	d	819.27	0	3	56	7	24	i	n	1286.47	1	1000	1000	1	0
128	2	17	P	P	f	752.14	1	8	24	4	56	i	n	1335.44	1	1000	100	1	0
128	2	18	P	P	f	785.87	1	9	56	3	24	c	j	869.44	1	100	100	0	0
128	2	19	N	N	d	719.39	0	9	24	4	56	i	j	1219.84	1	1000	100	1	0
128	2	20	N	N	d	852.86	0	8	56	2	24	c	j	1820.42	1	1000	100	0	0
128	2	21	N	N	d	786.19	0	4	24	7	56	c	n	935.0	1	100	1000	0	0
128	2	22	P	P	f	1269.81	1	8	24	2	56	i	n	1603.59	1	100	100	1	0
128	2	23	P	P	f	884.82	1	3	24	9	56	c	n	1169.8	1	100	100	0	0
128	2	24	N	N	d	752.83	0	8	24	2	56	i	j	901.87	1	1000	1000	1	0
128	2	25	P	P	f	885.95	1	9	56	4	24	c	j	919.64	1	100	1000	1	0
128	2	26	P	P	f	752.78	1	3	56	9	24	i	j	2471.49	1	1000	100	0	0
128	2	27	N	N	d	819.38	0	8	24	2	56	i	j	1169.89	1	100	100	1	0
128	2	28	P	P	f	1570.15	1	4	56	7	24	i	j	1870.63	1	100	100	1	0
128	2	29	P	P	f	1002.61	1	9	24	3	56	i	n	852.16	1	100	1000	0	0
128	2	30	N	N	d	952.74	0	7	24	2	56	i	j	1703.74	1	100	1000	1	0
128	2	31	N	N	d	720.22	0	8	56	3	24	c	j	1236.34	1	100	100	0	0
128	2	32	N	N	d	1036.37	0	4	56	8	24	i	n	1670.42	1	100	1000	0	0
128	2	33	N	N	d	836.11	0	2	56	8	24	i	n	1036.39	1	1000	1000	0	0
128	2	34	N	N	d	769.72	0	8	56	4	24	c	j	1787.03	1	1000	1000	0	0
128	2	35	P	P	f	669.47	1	9	24	3	56	i	n	2085.68	1	1000	1000	1	0
128	2	36	P	P	f	936.07	1	4	24	8	56	c	n	902.64	1	100	1000	0	0
128	2	37	N	N	d	1053.01	0	9	56	2	24	c	j	1436.84	1	100	100	1	0
128	2	38	N	N	d	635.71	0	9	24	3	56	i	j	1553.27	1	100	100	0	0
128	2	39	P	P	f	1185.56	1	4	24	8	56	c	n	885.84	1	100	100	1	0
128	2	40	P	P	f	719.17	1	7	56	3	24	c	j	1254.04	1	100	1000	0	0
128	2	41	P	P	f	952.98	1	8	24	4	56	i	n	1670.32	1	100	100	0	0
128	2	42	N	N	d	852.94	0	3	24	7	56	c	n	2170.37	1	100	1000	1	0
128	2	43	P	P	f	869.44	1	7	56	4	24	c	j	2838.3	1	1000	100	1	0
128	2	44	P	P	f	619.12	1	9	56	2	24	c	j	902.62	1	1000	1000	0	0
