subj	block	trial	task_cue	task	choice_resp	choiceRT	choice_acc	topnum	topsize	botnum	botsize	cong	task_resp	taskRT	task_acc	RSI	CSI	altRep	E1
184	1	60	P	P	d	602.76	1	9	56	3	24	c	j	583.1	1	1000	100	1	0
184	1	61	P	P	d	799.7	1	4	24	7	56	c	n	607.88	1	100	100	0	0
184	1	62	N	N	f	734.05	0	3	56	9	24	i	n	1008.13	1	100	1000	1	0
184	1	63	N	N	f	598.12	0	2	56	7	24	i	n	1449.48	1	1000	1000	0	0
184	1	64	P	P	d	707.33	1	3	56	8	24	i	j	2984.44	1	1000	100	1	0
184	1	65	P	P	d	808.19	1	2	24	9	56	c	n	475.42	1	1000	100	0	0
184	2	1	N	N	f	1530.33	0	2	56	7	24	i	n	997.65	1	100	100	-1	0
184	2	2	N	N	f	605.69	0	7	56	3	24	c	j	1013.92	1	100	100	0	0
184	2	3	P	P	d	672.53	1	8	56	4	24	c	j	529.4	1	100	1000	1	0
184	2	4	P	P	d	670.88	1	3	56	9	24	i	j	1224.8	1	1000	1000	0	0
184	2	5	N	N	f	655.02	0	4	24	7	56	c	n	743.62	1	100	100	1	0
184	2	6	N	N	f	747.65	0	3	24	8	56	c	n	572.5	1	100	100	0	0
184	2	7	N	N	f	1147.88	0	4	56	7	24	i	n	1156.52	1	1000	100	0	0
184	2	8	N	N	f	495.15	0	2	56	9	24	i	n	580.51	1	1000	1000	0	0
184	2	9	P	P	d	998.58	1	8	24	3	56	i	n	1707.6	1	1000	1000	1	0
184	2	10	N	N	f	958.96	0	7	56	2	24	c	j	914.05	1	100	1000	1	0
184	2	11	N	N	f	672.93	0	8	56	4	24	c	j	833.25	1	100	1000	0	0
184	2	12	P	P	d	3171.67	1	9	56	3	24	c	j	559.63	1	1000	1000	1	0
184	2	13	N	N	f	926.82	0	9	24	4	56	i	j	960.32	1	1000	1000	1	0
184	2	14	P	P	d	770.23	1	2	24	9	56	c	n	717.78	1	100	100	1	0
184	2	15	N	N	f	1121.38	0	3	24	7	56	c	n	1022.41	1	1000	1000	1	0
