"subj" "trialCumul" "sr" "exp"
"12" 8 1 "Frober E1 Vol First 64 trials"
"12" 10 0 "Frober E1 Vol First 64 trials"
"12" 12 0 "Frober E1 Vol First 64 trials"
"12" 13 1 "Frober E1 Vol First 64 trials"
"12" 14 0 "Frober E1 Vol First 64 trials"
"12" 15 0 "Frober E1 Vol First 64 trials"
"12" 16 0 "Frober E1 Vol First 64 trials"
"12" 17 1 "Frober E1 Vol First 64 trials"
"12" 18 0 "Frober E1 Vol First 64 trials"
"12" 19 1 "Frober E1 Vol First 64 trials"
"12" 20 0 "Frober E1 Vol First 64 trials"
"12" 21 0 "Frober E1 Vol First 64 trials"
"12" 23 0 "Frober E1 Vol First 64 trials"
"12" 25 0 "Frober E1 Vol First 64 trials"
"12" 26 0 "Frober E1 Vol First 64 trials"
"12" 27 0 "Frober E1 Vol First 64 trials"
"12" 28 1 "Frober E1 Vol First 64 trials"
"12" 29 0 "Frober E1 Vol First 64 trials"
"12" 30 0 "Frober E1 Vol First 64 trials"
"12" 32 0 "Frober E1 Vol First 64 trials"
"12" 34 0 "Frober E1 Vol First 64 trials"
"12" 35 1 "Frober E1 Vol First 64 trials"
"12" 36 1 "Frober E1 Vol First 64 trials"
"12" 37 1 "Frober E1 Vol First 64 trials"
"12" 38 0 "Frober E1 Vol First 64 trials"
"12" 40 0 "Frober E1 Vol First 64 trials"
"12" 41 1 "Frober E1 Vol First 64 trials"
"12" 42 1 "Frober E1 Vol First 64 trials"
"12" 43 0 "Frober E1 Vol First 64 trials"
"12" 44 1 "Frober E1 Vol First 64 trials"
"12" 45 1 "Frober E1 Vol First 64 trials"
"12" 46 0 "Frober E1 Vol First 64 trials"
"12" 47 1 "Frober E1 Vol First 64 trials"
"12" 48 1 "Frober E1 Vol First 64 trials"
"12" 50 0 "Frober E1 Vol First 64 trials"
"12" 51 0 "Frober E1 Vol First 64 trials"
"12" 52 0 "Frober E1 Vol First 64 trials"
"12" 53 0 "Frober E1 Vol First 64 trials"
"12" 54 0 "Frober E1 Vol First 64 trials"
"12" 55 0 "Frober E1 Vol First 64 trials"
"12" 57 0 "Frober E1 Vol First 64 trials"
"12" 58 0 "Frober E1 Vol First 64 trials"
"12" 61 0 "Frober E1 Vol First 64 trials"
"12" 62 0 "Frober E1 Vol First 64 trials"
"12" 63 1 "Frober E1 Vol First 64 trials"
"12" 64 0 "Frober E1 Vol First 64 trials"
"13" 2 1 "Frober E1 Vol First 64 trials"
"13" 3 1 "Frober E1 Vol First 64 trials"
"13" 4 1 "Frober E1 Vol First 64 trials"
"13" 5 0 "Frober E1 Vol First 64 trials"
"13" 6 0 "Frober E1 Vol First 64 trials"
"13" 7 0 "Frober E1 Vol First 64 trials"
"13" 8 0 "Frober E1 Vol First 64 trials"
"13" 9 1 "Frober E1 Vol First 64 trials"
"13" 10 0 "Frober E1 Vol First 64 trials"
"13" 11 0 "Frober E1 Vol First 64 trials"
"13" 12 0 "Frober E1 Vol First 64 trials"
"13" 13 1 "Frober E1 Vol First 64 trials"
"13" 14 0 "Frober E1 Vol First 64 trials"
"13" 15 1 "Frober E1 Vol First 64 trials"
"13" 16 0 "Frober E1 Vol First 64 trials"
"13" 17 0 "Frober E1 Vol First 64 trials"
"13" 18 1 "Frober E1 Vol First 64 trials"
"13" 19 0 "Frober E1 Vol First 64 trials"
"13" 21 1 "Frober E1 Vol First 64 trials"
"13" 22 1 "Frober E1 Vol First 64 trials"
"13" 23 1 "Frober E1 Vol First 64 trials"
"13" 24 0 "Frober E1 Vol First 64 trials"
"13" 25 0 "Frober E1 Vol First 64 trials"
"13" 26 1 "Frober E1 Vol First 64 trials"
"13" 29 1 "Frober E1 Vol First 64 trials"
"13" 30 1 "Frober E1 Vol First 64 trials"
"13" 31 0 "Frober E1 Vol First 64 trials"
"13" 32 1 "Frober E1 Vol First 64 trials"
"13" 33 0 "Frober E1 Vol First 64 trials"
"13" 34 0 "Frober E1 Vol First 64 trials"
"13" 35 0 "Frober E1 Vol First 64 trials"
"13" 36 0 "Frober E1 Vol First 64 trials"
"13" 38 0 "Frober E1 Vol First 64 trials"
"13" 39 0 "Frober E1 Vol First 64 trials"
"13" 41 1 "Frober E1 Vol First 64 trials"
"13" 42 0 "Frober E1 Vol First 64 trials"
"13" 43 0 "Frober E1 Vol First 64 trials"
"13" 44 0 "Frober E1 Vol First 64 trials"
"13" 45 0 "Frober E1 Vol First 64 trials"
"13" 46 1 "Frober E1 Vol First 64 trials"
"13" 47 0 "Frober E1 Vol First 64 trials"
"13" 48 1 "Frober E1 Vol First 64 trials"
"13" 49 0 "Frober E1 Vol First 64 trials"
"13" 50 0 "Frober E1 Vol First 64 trials"
"13" 51 0 "Frober E1 Vol First 64 trials"
"13" 53 0 "Frober E1 Vol First 64 trials"
"13" 54 0 "Frober E1 Vol First 64 trials"
"13" 55 0 "Frober E1 Vol First 64 trials"
"13" 56 0 "Frober E1 Vol First 64 trials"
"13" 57 0 "Frober E1 Vol First 64 trials"
"13" 58 1 "Frober E1 Vol First 64 trials"
"13" 59 0 "Frober E1 Vol First 64 trials"
"13" 60 0 "Frober E1 Vol First 64 trials"
"13" 61 0 "Frober E1 Vol First 64 trials"
"13" 62 0 "Frober E1 Vol First 64 trials"
"13" 63 0 "Frober E1 Vol First 64 trials"
"13" 64 1 "Frober E1 Vol First 64 trials"
"14" 3 1 "Frober E1 Vol First 64 trials"
"14" 4 0 "Frober E1 Vol First 64 trials"
"14" 5 1 "Frober E1 Vol First 64 trials"
"14" 6 1 "Frober E1 Vol First 64 trials"
"14" 7 0 "Frober E1 Vol First 64 trials"
"14" 8 0 "Frober E1 Vol First 64 trials"
"14" 9 0 "Frober E1 Vol First 64 trials"
"14" 10 1 "Frober E1 Vol First 64 trials"
"14" 12 0 "Frober E1 Vol First 64 trials"
"14" 13 0 "Frober E1 Vol First 64 trials"
"14" 14 0 "Frober E1 Vol First 64 trials"
"14" 15 0 "Frober E1 Vol First 64 trials"
"14" 17 0 "Frober E1 Vol First 64 trials"
"14" 20 0 "Frober E1 Vol First 64 trials"
"14" 22 0 "Frober E1 Vol First 64 trials"
"14" 23 0 "Frober E1 Vol First 64 trials"
"14" 24 0 "Frober E1 Vol First 64 trials"
"14" 25 1 "Frober E1 Vol First 64 trials"
"14" 26 0 "Frober E1 Vol First 64 trials"
"14" 27 0 "Frober E1 Vol First 64 trials"
"14" 28 0 "Frober E1 Vol First 64 trials"
"14" 29 0 "Frober E1 Vol First 64 trials"
"14" 32 0 "Frober E1 Vol First 64 trials"
"14" 33 0 "Frober E1 Vol First 64 trials"
"14" 35 0 "Frober E1 Vol First 64 trials"
"14" 36 0 "Frober E1 Vol First 64 trials"
"14" 38 0 "Frober E1 Vol First 64 trials"
"14" 39 0 "Frober E1 Vol First 64 trials"
