"Estimate" "Est.Error" "Q2.5" "Q97.5" "subj" "BIS" "BAS" "srMean"
0.00117945110796129 0.00172471562123982 -0.00185255246869066 0.00486117850975314 "4" 24 43 0.126666666666667
-0.000152106169539771 0.00118021143797638 -0.00264276886856002 0.00221480203157253 "5" 22 38 0.471074380165289
-0.000241114849993736 0.00114631344799065 -0.00273114617294685 0.00193296980070778 "6" 22 41 0.397435897435897
-0.00136328052184025 0.00138202727890254 -0.00440953572980996 0.000847297082802675 "7" 26 37 0.424
0.002504535855927 0.00193222531961038 -0.000457217599495942 0.00667387518417985 "8" 19 37 0.253846153846154
-0.00262230559632716 0.00176870685619538 -0.00637323652658197 0.000157611766076129 "10" 23 40 0.335714285714286
-0.000321318452536753 0.00116149020515741 -0.00281867597815207 0.00188541700331614 "11" 26 48 0.544117647058823
0.000398828562564644 0.00115507100361655 -0.00186167596284382 0.00282450584585273 "12" 16 46 0.512820512820513
-0.000986411368013242 0.00173728383434268 -0.0048737804436144 0.00207943541902023 "13" 22 42 0.819548872180451
-6.19546893534894e-05 0.00119026947273808 -0.00244087356743289 0.00234245764831327 "14" 18 41 0.385185185185185
-0.000481452868465737 0.00143414894392902 -0.00340837293310556 0.00230654751911194 "15" 25 40 0.191304347826087
-0.000814535180980082 0.00121497596625282 -0.00344773271862253 0.00137601953796448 "16" 23 38 0.54014598540146
-0.00105108726081557 0.00139588549160645 -0.00422037524142457 0.00131896552751433 "17" 25 44 0.416666666666667
0.000349631484364488 0.00113583949728296 -0.00181946465428415 0.00280480369841712 "18" 23 44 0.470588235294118
0.000258171179245063 0.00117788788877097 -0.00206902877813275 0.00278325818192016 "21" 24 40 0.54421768707483
-0.000443271646777825 0.00136208517746307 -0.00330138083364409 0.0022206107972855 "22" 25 38 0.256880733944954
-0.00048646219045312 0.00116231669966377 -0.00299301884206142 0.00168698347091562 "23" 27 32 0.535947712418301
-0.000539337408187235 0.00118742613346372 -0.00308771119375403 0.0016664917416709 "24" 16 40 0.385135135135135
0.00110125682328465 0.00127454370491563 -0.00114855437109984 0.00387977555420949 "25" 15 43 0.521739130434783
-0.000101201154985433 0.00128882353437542 -0.00281570796951135 0.00250931133877682 "26" 20 49 0.456521739130435
0.000638200058996247 0.00120444880500344 -0.00155738546379098 0.0032427089543412 "27" 20 49 0.420689655172414
-0.00100420744431049 0.00125212311451246 -0.00375880774798729 0.00119723641534569 "29" 25 46 0.453900709219858
5.15934912917328e-05 0.00116263121136839 -0.00232164728321243 0.00240790334558887 "30" 21 43 0.428571428571429
0.00099534680439895 0.00131174824759407 -0.00134276411071966 0.00377975304028485 "31" 25 40 0.66025641025641
0.000398922530429997 0.00112332164331153 -0.00171377843039553 0.00282549133227089 "32" 22 51 0.453333333333333
0.00081731573559328 0.00126647901556563 -0.00136953323889444 0.00362693237247662 "35" 16 37 0.491071428571429
-0.000150575315754467 0.00119001735800501 -0.00257181659999994 0.00234877709934453 "36" 20 43 0.306122448979592
0.000437976667394445 0.00121644492079264 -0.00195426692885858 0.00297062610864105 "37" 25 42 0.48
-0.000740083981570379 0.00122625673700147 -0.00344063857687133 0.00142825761957156 "38" 28 42 0.525925925925926
0.000162952054656416 0.00118921863620732 -0.0022114983107328 0.00267752271383746 "40" 24 38 0.488188976377953
0.000990273260718556 0.00130110985533538 -0.00136079078061019 0.00389467412623329 "41" 16 38 0.598639455782313
0.000427921386773011 0.00122556975925559 -0.0019648626236703 0.0030432064412866 "42" 19 45 0.486238532110092
-0.000748591559111358 0.00117519074276919 -0.00328769054977231 0.00140799491900519 "43" 25 36 0.493055555555556
1.51402352490396e-05 0.0011957752813358 -0.00245720949130401 0.00243442576479076 "45" 21 50 0.569444444444444
0.000430886930986972 0.00114720985492125 -0.00178309890285923 0.00284240555858471 "46" 25 43 0.486111111111111
0.000700633582746073 0.00127246575582063 -0.00163015087345795 0.00336216147722036 "47" 16 49 0.664233576642336
0.0004373419674622 0.00115088683346854 -0.00180522690478258 0.00292905951534442 "48" 16 41 0.490066225165563
-0.000138707043849083 0.00120378122262356 -0.00255516300965361 0.00229694400275833 "49" 16 39 0.516129032258065
